date,last_price,last_quantity,ohlc
2021:06:18 11:13:33 IST +0530,702.05,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:34 IST +0530,698.45,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:35 IST +0530,698.2,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:35 IST +0530,694.4,50,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:36 IST +0530,696.6,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:36 IST +0530,700.35,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:37 IST +0530,706.85,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:38 IST +0530,706.85,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:38 IST +0530,706.85,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:39 IST +0530,706.85,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:39 IST +0530,710.0,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:40 IST +0530,711.35,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:41 IST +0530,711.35,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:41 IST +0530,712.0,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:42 IST +0530,712.0,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:42 IST +0530,713.5,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:43 IST +0530,711.35,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
2021:06:18 11:13:44 IST +0530,712.4,25,"{'open': 355.4, 'high': 915.3, 'low': 279.55, 'close': 377.35}"
